connector_id,node_id,type,x,y,z,roi,confidence
432,2996,post,16337,35121,25255,AL(R),0.524
433,2996,post,16337,35121,25256,AL(R),0.706144
434,3727,post,15096,35338,25083,AL(R),0.858707
435,3725,post,15050,35198,25138,AL(R),0.90089
436,610,post,16338,35001,25307,AL(R),0.814441
437,612,post,16108,34938,25260,AL(R),0.826078
438,3870,post,16650,35027,25236,AL(R),0.932617
439,2274,post,16120,34852,25321,AL(R),0.875467
440,2850,post,15428,34897,25354,AL(R),0.810573
441,3403,post,15551,34867,25272,AL(R),0.853562
442,1940,post,15395,34639,25548,AL(R),0.951276
443,1942,post,15422,34689,25544,AL(R),0.545648
444,3402,post,15497,34876,25214,AL(R),0.990643
445,3794,post,15304,34840,25162,AL(R),0.742132
446,937,post,15869,36163,24550,AL(R),0.692441
447,1892,post,15271,34421,25406,AL(R),0.651541
448,3890,post,15304,34419,25304,AL(R),0.812278
449,2184,post,16676,36203,25237,AL(R),0.737669
450,3801,post,15459,35163,24648,AL(R),0.854082
451,3887,post,15391,34275,25153,AL(R),0.923178
452,2985,post,15611,34614,25597,AL(R),0.4579587
453,1982,pre,4622,22955,14613,LH(R),0.945
454,4317,pre,16350,15124,10808,CA(R),0.903
455,596,pre,15220,11977,10522,CA(R),0.862
456,595,pre,15078,12094,10504,CA(R),0.809
457,597,pre,14966,12001,10444,CA(R),0.851
458,4311,pre,15199,11806,10510,CA(R),0.908
459,598,pre,15149,11827,10496,CA(R),0.842
460,597,pre,15166,11871,10442,CA(R),0.839
461,3658,pre,14969,11946,10513,CA(R),0.956
462,3659,pre,15045,11980,10379,CA(R),0.925
463,4309,pre,14984,11904,10352,CA(R),0.734
464,547,post,15089,15422,11710,CA(R),0.978599
465,4311,pre,15196,11707,10521,CA(R),0.802
466,3659,pre,15071,11744,10457,CA(R),0.778
467,3660,pre,15048,11702,10430,CA(R),0.886
468,4309,pre,14942,11750,10369,CA(R),0.952
469,1469,pre,5006,23719,14722,LH(R),0.992
470,4246,pre,5009,23490,14817,LH(R),0.933
471,1593,pre,5391,22426,16969,LH(R),0.987
472,1470,pre,4895,23836,14568,LH(R),0.956
473,6,pre,4027,22093,15445,LH(R),0.966
474,1456,pre,5010,23364,15457,LH(R),0.994
475,4034,pre,4862,23430,15440,LH(R),0.992
476,1470,pre,4926,23787,14649,LH(R),0.99
477,4,pre,3756,21991,15268,LH(R),0.992
478,2595,pre,4704,21502,16492,LH(R),0.963
479,1453,post,5141,22983,15309,LH(R),0.977218
480,20,post,5016,22119,15753,LH(R),0.970448
481,2598,post,4743,21590,16716,LH(R),0.842867
482,38,post,5946,20183,14343,LH(R),0.97576
483,1971,post,5127,23056,15175,LH(R),0.954389
484,3,post,3648,21889,15190,LH(R),0.982952
485,3662,pre,6248,20291,14269,LH(R),0.974
486,3662,pre,6173,20299,14220,LH(R),0.99
487,3663,pre,6151,20378,14320,LH(R),0.978
488,3662,pre,6110,20286,14248,LH(R),0.981
489,6,pre,3972,22033,15377,LH(R),0.99
490,1972,pre,4999,23092,15070,LH(R),0.934
491,1587,pre,4899,22384,16515,LH(R),0.985
492,1982,pre,4659,22950,14600,LH(R),0.989
493,1470,pre,4870,23759,14534,LH(R),0.989
494,1468,pre,5013,23766,14869,LH(R),0.997
495,4238,pre,6093,20419,14325,LH(R),0.96
496,4034,pre,4895,23496,15497,LH(R),0.994
497,4240,pre,4622,21857,16221,LH(R),0.98
498,1123,pre,4586,21605,16494,LH(R),0.992
499,13,pre,4761,22777,15693,LH(R),0.975
500,1593,pre,5453,22373,16971,LH(R),0.973
501,1470,pre,4970,23781,14600,LH(R),0.957
502,4022,pre,4978,21170,15450,LH(R),0.871
503,3667,pre,4629,21895,16085,LH(R),0.964
504,1595,post,5578,22300,16859,LH(R),0.663267
505,4327,post,4914,21245,15530,LH(R),0.997536
506,6,post,4026,22074,15343,LH(R),0.587841
507,1204,post,5125,22555,14817,LH(R),0.981149
508,2606,post,5034,23459,14899,LH(R),0.927526
509,4331,post,4968,23225,14979,LH(R),0.749311
510,1594,post,5519,22359,16936,LH(R),0.927299
511,4322,post,3523,20601,16025,LH(R),0.971
512,13,post,4741,22565,15644,LH(R),0.46182397
513,3662,post,6253,20387,14277,LH(R),0.983326
514,1136,post,3544,20583,16100,LH(R),0.856842
515,3668,post,4618,21810,16064,LH(R),0.987476
516,40,post,6248,20176,14301,LH(R),0.960093
517,1120,post,4640,21773,16420,LH(R),0.978348
518,3662,post,6211,20241,14204,LH(R),0.994266
519,13,post,4668,22730,15639,LH(R),0.791841
520,4024,post,5051,21298,15600,LH(R),0.935025
521,1588,post,4857,22359,16653,LH(R),0.833882
522,3031,post,5341,21856,15392,LH(R),0.998827
523,3673,post,3860,22400,15053,LH(R),0.96142
524,3662,post,6284,20274,14262,LH(R),0.977459
525,1470,post,4996,23787,14577,LH(R),0.988559
526,4030,post,4919,23317,14873,LH(R),0.902785
527,1204,post,5092,22612,14825,LH(R),0.992987
528,3032,post,5333,21884,15377,LH(R),0.46599552
529,4020,post,4928,21114,15311,LH(R),0.974521
530,4242,pre,5232,21621,15734,LH(R),0.992
531,576,post,15169,13362,10952,CA(R),0.963645
532,3659,pre,14954,11961,10415,CA(R),0.953
533,597,pre,15142,11916,10423,CA(R),0.95
534,593,pre,15068,12213,10702,CA(R),0.959
535,585,post,15149,12906,10842,CA(R),0.850633
536,3659,post,15148,11871,10364,CA(R),0.778363
537,2601,pre,4936,21681,17070,LH(R),0.987
538,77,post,10882,17416,12296,,0.997131
